2018-04-25 04:56:40 #rules @ᴰᴿˢ | ΔCΣ♕#9623: @​everyone
2018-04-25 04:56:57 #rules @ᴰᴿˢ | ΔCΣ♕#9623 deleted message from 2018-04-25 04:56:40 (@​everyone)
2018-04-25 05:18:45 #rules @ᴰᴿˢ | ΔCΣ♕#9623: @​everyone \n\nSelamat Datang Di Ethereal Squad!\nDisini kita menyediakan tempat untuk mengobrol, bermain, dan karaoke bersama!\nSelain itu, kita juga sedang merekrut pemain pemain mobalog atau mobile legends yang bisa membawa squad ini untuk menjadi squad terbaik!\n\nRULES :\n1. disini roles KING telah memberi peraturan terhadap bot bahwa kalau ada yang spam di server ini atau mengulang kata sebanyak 6 kali akan di BAN! jadi, tidak boleh spam di server ini karena akan mengganggu yang lain.
2018-04-25 05:19:00 #rules @ᴰᴿˢ | ΔCΣ♕#9623 deleted message from 2018-04-25 05:18:45 (@​everyone \n\nSelamat Datang Di Ethereal Squad!\nDisini kita menyediakan tempat untuk mengobrol, bermain, dan karaoke bersama!\nSelain itu, kita juga sedang merekrut pemain pemain mobalog atau mobile legends yang bisa membawa squad ini untuk menjadi squad terbaik!\n\nRULES :\n1. disini roles KING telah memberi peraturan terhadap bot bahwa kalau ada yang spam di server ini atau mengulang kata sebanyak 6 kali akan di BAN! jadi, tidak boleh spam di server ini karena akan mengganggu yang lain.)
2018-04-25 05:23:23 #rules @ᴰᴿˢ | ΔCΣ♕#9623: @​everyone \n\nSelamat Datang Di Ethereal Squad!\nDisini kita menyediakan tempat untuk mengobrol, bermain, dan karaoke bersama!\nSelain itu, kita juga sedang merekrut pemain pemain mobalog atau mobile legends yang bisa membawa squad ini untuk menjadi squad terbaik!\n\nRULES + INFO SQUAD :\n\n1. Disini roles KING telah memberi peraturan terhadap bot bahwa kalau ada yang spam di server ini atau mengulang kata sebanyak 6 kali akan di BAN! jadi, tidak boleh spam di server ini karena akan mengganggu yang lain.\n\n2. ADMIN adalah role khusus yang  diberi oleh KING untuk mengelola server ini.\n\n3. Kalau kalian ada yang minat untuk masuk squad Σтнεяα𐌋 silahkan PM KING atau ADMIN.\n\n4. Silahkan menikmati server ini!
2018-04-25 05:23:39 #rules @ᴰᴿˢ | ΔCΣ♕#9623: https://discord.gg/gfqKe
2018-04-25 05:23:49 #rules @ᴰᴿˢ | ΔCΣ♕#9623 deleted message from 2018-04-25 05:23:39 (https://discord.gg/gfqKe)
2018-04-25 05:24:06 #rules @ᴰᴿˢ | ΔCΣ♕#9623: @​everyone https://discord.gg/gfqKe
2018-04-25 11:40:17 #rules @ᴰᴿˢ | ΔCΣ♕#9623: Σтнεяα𐌋 Ɠάмίήģ\n\nTempat Bermain Mobalog dan Free Fire\n\nhttps://discord.gg/TpsVv\n\n@​everyone
2018-04-25 11:48:30 #rules @ᴰᴿˢ | ΔCΣ♕#9623 edited message from 2018-04-25 11:40:17 (Σтнεяα𐌋 Ɠάмίήģ\n\nTempat Bermain Mobalog dan Free Fire\n\nhttps://discord.gg/TpsVv\n\n@​everyone) to read: Σтнεяα𐌋 Ɠάмίήģ\n\nTempat Bermain Mobalog dan Free Fire\n\nhttps://discord.gg/RdQ4T\n\n@​everyone
2018-04-25 15:57:33 #rules @ᴰᴿˢ | ṜέẒž#9623:  (attachment url(s): https://cdn.discordapp.com/attachments/438563462621429761/438730295164796928/ethereal_1.png)
